id,host,vulnerability,risk_score
f01851ac-c890-43b6-8761-dd59aa2e43c9,167.57.156.22,KB4586823: Windows 8.1 and Windows Server 2012 R2 November 2020 Security Update,64
7678acf2-c928-4137-b35b-a5b94b4e183a,205.94.93.59,Apache ActiveMQ Detection,71
3e26e516-9d54-4faa-99d2-cd7822c6cf43,45.78.175.158,Microsoft Windows 95/98/ME Unsupported Installation Detection,38
a3c967c4-f31b-456e-bc95-8382f1cc07e9,126.113.182.55,BSD Based FTP Server Multiple glob Function Remote Overflow,40
12d20483-cf03-476a-8738-ec74a9e95f17,198.57.5.185,Docker remote API detection,67
7ad689fa-63b4-44da-9d2e-eef9f432a341,252.87.7.60,Mozilla Firefox ESR < 78.6,12
6eb27430-a8e7-4ab2-b40e-80d67c28f9fa,197.23.26.94,Oracle Error Log Found,3
f905e162-38c3-40d9-bbd9-f1a034dcbaf2,47.155.151.168,NTMail3 Arbitrary Mail Relay,53
1de93cf4-c028-4d3a-9b93-7badf5d0eea5,55.38.105.171,Microsoft Windows 95/98/ME Unsupported Installation Detection,82
1c2746b0-b140-49de-9906-fd916b0189f2,140.167.176.203,Bind Shell Backdoor Detection,6
4ccc1a11-744b-4397-8872-43aa71cd8af7,56.205.227.49,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,90
e3e1d454-362e-4234-a377-df7175530399,225.179.77.238,BSD Based FTP Server Multiple glob Function Remote Overflow,22
c740cdd5-67fc-4647-b034-5f70e9c7b167,154.145.164.49,Insecure .net framework 4.0,16
fe66f1e0-0144-4e2b-abb9-4dff7a680c93,45.78.175.158,Unrestricted File Upload,29
c9671598-78a2-49ab-adfd-68d00ce55788,112.16.39.54,Mozilla Firefox ESR < 78.6,26
35337f5d-da82-4d6b-af8b-084639b2bcb5,84.114.78.176,Mozilla Firefox ESR < 78.6,78
c23d1404-1a2a-4b62-abc6-dea986b5c8b3,207.71.129.141,MailEnable WebMail Detection,30
b5a82f79-40d2-4dd2-a55e-bdb62e9f940f,75.1.229.101,Account Takeover via Forgot Password,46
6e95b951-46c2-4236-9ddb-a5ceb84b2c74,145.171.136.33,Brocade Fabric OS Default Credentials,86
397f52bb-7f2e-47e3-9bd0-f5315aa8975f,250.162.228.163,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,16
c18d7515-4662-4b30-89bd-09d8003b7c97,38.31.109.190,Oracle Error Log Found,65
55f0b612-6f1c-4d67-9887-1a57aeeeeb5f,54.180.150.99,Apache ActiveMQ Detection,16
bc0c9629-cfd8-4194-bf02-39492df42c1d,203.241.141.8,BSD Based FTP Server Multiple glob Function Remote Overflow,82
280fba77-18dc-400a-af7a-6153a9efdde8,247.43.14.156,KB4586793: Windows 10 Version 1809 and Windows Server 2019 November 2020 Security Update,72
